,hedef_grup,derece,kategori,saldırgan_dil,tweet_text,konu,tweet_id,dil,majority_decision,tweet_text_clean
4389,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"@baba_1453_ @Fahri35_ @06ckaya @ibrahimCanTR @Svm__Ce @anne_babasiz @mai_ve_siyah34 @dilara_onur34 @akinci7826 @_zlem_50 @Pak_Turk99 Yunanistan haddini aştı

Erdoğan uyardı.

Peki,
Muhalefet kimi destekleyecek ?

ANSIZIN GELEBİLİRİZ 
#ŞakamızYokYunanistan https://t.co/W87NrcbNxn",Tr-Gr,1535017778540957722,,Yunan Karşıtı,"           Yunanistan haddini aştı

Erdoğan uyardı.

Peki,
Muhalefet kimi destekleyecek ?

ANSIZIN GELEBİLİRİZ 
#ŞakamızYokYunanistan "
4392,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Cumhurbaşkanımız Erdoğan ;

"" Bir kez daha Yunanistan'ı gayri askeri statüdeki adaları silahlandırmaktan vazgeçmeye, uluslararası antlaşmalara uygun davranmaya davet ediyoruz ''

#ŞakamızYokYunanistan 
ANSIZIN GELEBİLİRİZ https://t.co/xPvhn8bXDI",Tr-Gr,1535018647512666124,,Yunan Karşıtı,"Cumhurbaşkanımız Erdoğan ;

"" Bir kez daha Yunanistan'ı gayri askeri statüdeki adaları silahlandırmaktan vazgeçmeye, uluslararası antlaşmalara uygun davranmaya davet ediyoruz ''

#ŞakamızYokYunanistan 
ANSIZIN GELEBİLİRİZ "
4395,['Ülke/Milliyet'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Ukrayna Amerika nin gazına geldi sıra belli Yunanistan da 
Bizim gb komşusu var yatıp kalkıp dua edeceğine şımarık şımarık kaşınıyor",Tr-Gr,1535020955445219349,Türkçe,Yunan Karşıtı,"Ukrayna Amerika nin gazına geldi sıra belli Yunanistan da 
Bizim gb komşusu var yatıp kalkıp dua edeceğine şımarık şımarık kaşınıyor"
4398,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Türkiye Yunanistan ile gerginlik yaşarken hdp'nin öcalan için yürüyüş yapması zamanlama açısından çok manidar.

İlk fırsatta sırtımızdan vuracaklar.

#Greece
#GemlikeYürüyoruz
#ŞakamızYokYunanistan",Tr-Gr,1535029639005065227,Türkçe,Yunan Karşıtı,"Türkiye Yunanistan ile gerginlik yaşarken hdp'nin öcalan için yürüyüş yapması zamanlama açısından çok manidar.

İlk fırsatta sırtımızdan vuracaklar.

#Greece
#GemlikeYürüyoruz
#ŞakamızYokYunanistan"
4401,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"@username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username 🇹🇷👍🙋‍♂️      YANINDAYIZ   REİS  .........🇹🇷
                   ANSIZIN GELEBİLİRİZ .....🇹🇷
#ŞakamızYokYunanistan .......🇹🇷
                                        DevlettirErdoğan ....🇹🇷",Tr-Gr,1535047655360954373,Türkçe,Yunan Karşıtı,"                     🇹🇷👍🙋‍♂️      YANINDAYIZ   REİS  .........🇹🇷
                   ANSIZIN GELEBİLİRİZ .....🇹🇷
#ŞakamızYokYunanistan .......🇹🇷
                                        DevlettirErdoğan ....🇹🇷"
4404,['Ülke/Milliyet'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"@username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username @username 🇹🇷👍🙋‍♂️      YANINDAYIZ   REİS  .........🇹🇷
                   ANSIZIN GELEBİLİRİZ .....🇹🇷
#ŞakamızYokYunanistan .......🇹🇷.
                                        DevlettirErdoğan ....🇹🇷",Tr-Gr,1535047736730431494,Türkçe,Yunan Karşıtı,"                     🇹🇷👍🙋‍♂️      YANINDAYIZ   REİS  .........🇹🇷
                   ANSIZIN GELEBİLİRİZ .....🇹🇷
#ŞakamızYokYunanistan .......🇹🇷.
                                        DevlettirErdoğan ....🇹🇷"
4407,['Ülke/Milliyet'],4,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,@username Yunanistan'ın ne kadar borcu var? 1 trilyon dolar? 😂 Umarım savaş başlar ve Türk ordusunun acı gücünü dedelerinizin izmirde tattığı gibi sizde tadarsınız!!! Bu kadar klavye konuşması yeterli. Umarım savaş meydanında karşılaşırız yorgo 😂,Tr-Gr,1535048813177880577,Türkçe,Yunan Karşıtı, Yunanistan'ın ne kadar borcu var? 1 trilyon dolar? 😂 Umarım savaş başlar ve Türk ordusunun acı gücünü dedelerinizin izmirde tattığı gibi sizde tadarsınız!!! Bu kadar klavye konuşması yeterli. Umarım savaş meydanında karşılaşırız yorgo 😂
4410,['Ülke/Milliyet'],4,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"@1516Hilalim Sunun şurasında seçime ne kaldı, hâlen Cumhurbaşkanı adayı açıklamadılar. 
Bizim ise ömrü vefa ettiği müddetçe Adayımız @RTErdogan 
#RecepTayyipErdogan
#ŞakamızYokYunanistan
#SonDakika
#EFES2022
 https://t.co/M0AA0wsJlB",Tr-Gr,1535131562181902336,,Yunan Karşıtı," Sunun şurasında seçime ne kaldı, hâlen Cumhurbaşkanı adayı açıklamadılar. 
Bizim ise ömrü vefa ettiği müddetçe Adayımız  
#RecepTayyipErdogan
#ŞakamızYokYunanistan
#SonDakika
#EFES2022
 "
4413,['Ülke/Milliyet'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Rusya’ya karşı petrol yaptırımlarına katılarak ABD’yi memnun etmeye çalışan Atina, Yunan armatörlerin baskısı üzerine geri adım attı. #SakamızYokYunanistan # ANSIZIN GELEBİLİRİZ https://t.co/nsqGcYTwbr",Tr-Gr,1535134793666551808,Türkçe,Yunan Karşıtı,"Rusya’ya karşı petrol yaptırımlarına katılarak ABD’yi memnun etmeye çalışan Atina, Yunan armatörlerin baskısı üzerine geri adım attı. #SakamızYokYunanistan # ANSIZIN GELEBİLİRİZ "
4416,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,#OttomanLoading Yunanistan #Greece ANSIZIN GELEBİLİRİZ #Efes2022Tatbikatı #SakamızYokYunanistan Atina Adalar #EFES2022 SOYLU SOYUNUZU KURUTACAK Soylu https://t.co/Tt3AJLmAA6,Tr-Gr,1535172670052081665,,Yunan Karşıtı,#OttomanLoading Yunanistan #Greece ANSIZIN GELEBİLİRİZ #Efes2022Tatbikatı #SakamızYokYunanistan Atina Adalar #EFES2022 SOYLU SOYUNUZU KURUTACAK Soylu 
4419,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Şiddetli,"@__Esra__Ca__ #ŞakamızYokYunanistan
Karşınızda hasta Adam dediğiniz Türkiye yok yeni ve Güçlü Kararlı Türkiye var Yunanistan Akıllı olun yoksa Şah Damarınızı Keseriz  #TabikideErdoğan
#20YıldaDevrimYaptık https://t.co/Sg8luYgBPM",Tr-Gr,1535183176561266688,Türkçe,Yunan Karşıtı," #ŞakamızYokYunanistan
Karşınızda hasta Adam dediğiniz Türkiye yok yeni ve Güçlü Kararlı Türkiye var Yunanistan Akıllı olun yoksa Şah Damarınızı Keseriz  #TabikideErdoğan
#20YıldaDevrimYaptık "
4422,['Ülke/Milliyet'],3,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"@username #ŞakamızYokYunanistan ‼️
https://t.co/AsRw9fBcUL",Tr-Gr,1535200429033902082,Türkçe,Yunan Karşıtı," #ŞakamızYokYunanistan ‼️
"
4425,['Ülke/Milliyet'],0,['Nefret söylemi bulunmuyor'],Yok,"#ŞakamızYokYunanistan

Karşınızda adaları koşulsuz şartsız Lozan'da bırakan İsmet yok, 

Recep Tayyip Erdoğan var!",Tr-Gr,1535326217829769216,,Yunan Karşıtı,"#ŞakamızYokYunanistan

Karşınızda adaları koşulsuz şartsız Lozan'da bırakan İsmet yok, 

Recep Tayyip Erdoğan var!"
4428,['Ülke/Milliyet'],4,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Tabi suyundan öte ben bizzat gördüm hatta! Ama bu arada, ateistlerin duasını kabul edip zam yağmuru yağdıran Allah'ıda kınım kınım kınıyorum 😕

G Ö N D E R E C E Ğ İ Z 
Aaaa  Yunanistan #benzinezam #SakamızYokYunanistan
#mazot30 https://t.co/Fi9BpipH3W",Tr-Gr,1535332806250876928,Türkçe,Yunan Karşıtı,"Tabi suyundan öte ben bizzat gördüm hatta! Ama bu arada, ateistlerin duasını kabul edip zam yağmuru yağdıran Allah'ıda kınım kınım kınıyorum 😕

G Ö N D E R E C E Ğ İ Z 
Aaaa  Yunanistan #benzinezam #SakamızYokYunanistan
#mazot30 "
4431,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,"Emekli Yunan Koramiral Konstantinos Egkolfopoulos: 

""Önce Rafale savaş uçaklarımız Larissa'dan kalkıp üç adet SCALP seyir füzesi ateşleyerek İstanbul'daki Boğaziçi Köprülerini yok edecek. İşte bundan sonra onlara ‘şimdi gelebilirsiniz’ diyeceğiz.""

Hoşştt...",Tr-Gr,1535354038258130944,Türkçe,Yunan Karşıtı,"Emekli Yunan Koramiral Konstantinos Egkolfopoulos: 

""Önce Rafale savaş uçaklarımız Larissa'dan kalkıp üç adet SCALP seyir füzesi ateşleyerek İstanbul'daki Boğaziçi Köprülerini yok edecek. İşte bundan sonra onlara ‘şimdi gelebilirsiniz’ diyeceğiz.""

Hoşştt..."
4434,['Ülke/Milliyet'],9,"['Küfür; Hakaret; Aşağılama; İnsandışılaştırma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Şiddetli,Lan Yunanistan. Milletin zaten ağzı burnunda savaş filan çıkarmaya çalışırsan bu sinirle ananizi sikeriz.,Tr-Gr,1535363914271186947,Türkçe,Yunan Karşıtı,Lan Yunanistan. Milletin zaten ağzı burnunda savaş filan çıkarmaya çalışırsan bu sinirle ananizi sikeriz.
4437,['Ülke/Milliyet'],7,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,"Yunanistan kaşınıyor 
Amerikanın gazına gelip havlamaya başladı",Tr-Gr,1535365952442974209,Türkçe,Yunan Karşıtı,"Yunanistan kaşınıyor 
Amerikanın gazına gelip havlamaya başladı"
4440,['Ülke/Milliyet'],7,"['Küfür; Hakaret; Aşağılama; İnsandışılaştırma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Yok,Tamam Türk düşmanıyız falan da Yunanistan kim amına koyayım? Ciddili savaş çıksa 2 aydan uzun dayanamazlar la bize karşı. https://t.co/EhB2FSoM7O,Tr-Gr,1535374860246917120,Türkçe,Yunan Karşıtı,Tamam Türk düşmanıyız falan da Yunanistan kim amına koyayım? Ciddili savaş çıksa 2 aydan uzun dayanamazlar la bize karşı. 
4443,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"@username #2023AdayımızErdoğan
#EFES2022 
#SakamızYokYunanistan",Tr-Gr,1535379081390624768,Türkçe,Yunan Karşıtı," #2023AdayımızErdoğan
#EFES2022 
#SakamızYokYunanistan"
4446,['Ülke/Milliyet'],2,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Yok,It dalaşı laf dalaşına dündü  bu Yunanistan'da olan eskide it dalaşı şimdide laf dalaşı dır bunlar seçime dayanıklı Propaganda vardır öyle Yunanistan'da Savaş mavaş bırakın bu i Allah aşkına işinizin gücünüze bakın yunanların tarihi kahpelikle doludur bunu en iyi Kürtler biliyor,Tr-Gr,1535387118738067456,Türkçe,Yunan Karşıtı,It dalaşı laf dalaşına dündü  bu Yunanistan'da olan eskide it dalaşı şimdide laf dalaşı dır bunlar seçime dayanıklı Propaganda vardır öyle Yunanistan'da Savaş mavaş bırakın bu i Allah aşkına işinizin gücünüze bakın yunanların tarihi kahpelikle doludur bunu en iyi Kürtler biliyor
4449,['Ülke/Milliyet'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Güzel para kazanmak isteyen varsa bir fikrim var Yunanistan'da yüzme kurslarına talep artmış... Devamını siz getirirsiniz. Komisyonumu alırım.
 Adalar 
#SakamızYokYunanistan 
ANSIZIN GELEBİLİRİZ",Tr-Gr,1535585612329275392,Türkçe,Yunan Karşıtı,"Güzel para kazanmak isteyen varsa bir fikrim var Yunanistan'da yüzme kurslarına talep artmış... Devamını siz getirirsiniz. Komisyonumu alırım.
 Adalar 
#SakamızYokYunanistan 
ANSIZIN GELEBİLİRİZ"
4452,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Yarın bir gün Yunanistan'la savaş benzeri bir duruma gelsek, 
Yunan bayrağı ile konvoy yapacak Türkler biliyorum https://t.co/e2SzrZLxH6",Tr-Gr,1535620356828016645,Türkçe,Yunan Karşıtı,"Yarın bir gün Yunanistan'la savaş benzeri bir duruma gelsek, 
Yunan bayrağı ile konvoy yapacak Türkler biliyorum "
4455,['Ülke/Milliyet'],4,['Simgeleştirme'],Zayıf,"@username @username Dostum bu iş yaz boyu sürer Sonbaharın kışa yaklaştığı zamanlarda iyice kızışır Ben iki ülkenin birbirine gireceğini düşünmüyorum ama yunan tohumunu kışkırtan ülkeler var
Ben bu durumda 'savaş olasılığı var olağanüstü haldeyiz ne seçimi kardeşim"" noktasından  daha çok ürküyorum.",Tr-Gr,1535647377700290560,Türkçe,Yunan Karşıtı,"  Dostum bu iş yaz boyu sürer Sonbaharın kışa yaklaştığı zamanlarda iyice kızışır Ben iki ülkenin birbirine gireceğini düşünmüyorum ama yunan tohumunu kışkırtan ülkeler var
Ben bu durumda 'savaş olasılığı var olağanüstü haldeyiz ne seçimi kardeşim"" noktasından  daha çok ürküyorum."
4458,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,"Yunan adalara asker çıkarırken sesi çıkmayan Ekrem İmamoğlu, cumhurbaşkanımızın adalardan askerleri geri çekin uyarısından sonra; 
“Sesimiz, savaş isteyenlerin seslerini bastırsın. Kendimiz için ne istiyorsak, komşumuz için de aynısını isteyelim.""
demiş.
Rum musun Türk mü Ekrem?",Tr-Gr,1535679630497263618,Türkçe,Yunan Karşıtı,"Yunan adalara asker çıkarırken sesi çıkmayan Ekrem İmamoğlu, cumhurbaşkanımızın adalardan askerleri geri çekin uyarısından sonra; 
“Sesimiz, savaş isteyenlerin seslerini bastırsın. Kendimiz için ne istiyorsak, komşumuz için de aynısını isteyelim.""
demiş.
Rum musun Türk mü Ekrem?"
4461,['Ülke/Milliyet'],3,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,@hakislamdavam Yunanistan siyasetçi leri kaşınıyor Ukrayna'nın durumundan kötü hale gelecekler abd ab ye güvenerek 😡 https://t.co/ncNTa9nQCe,Tr-Gr,1535749217385435141,,Yunan Karşıtı, Yunanistan siyasetçi leri kaşınıyor Ukrayna'nın durumundan kötü hale gelecekler abd ab ye güvenerek 😡 
4464,['Irk/Etnik Köken'],4,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"Sabırla koruk helva olurmuş. Ülkemizi yöneten adama biraz güvenin ve sabredin! Dünya bizi parçalamaya, bölmeye odaklanmışken içimizdeki hainlere fırsat vermeyin! #Venezuela #SakamızYokYunanistan #yunan https://t.co/rAudmWgORE",Tr-Gr,1535909470156558336,Türkçe,Yunan Karşıtı,"Sabırla koruk helva olurmuş. Ülkemizi yöneten adama biraz güvenin ve sabredin! Dünya bizi parçalamaya, bölmeye odaklanmışken içimizdeki hainlere fırsat vermeyin! #Venezuela #SakamızYokYunanistan #yunan "
4467,['Ülke/Milliyet'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"@anlamayacalisan İyi o zaman savaş ilan edilsin , seçime kadar konu yapılıp seçimden sonra unutulmasın , madem silahlandırıldı ve Yunan geri adım atmıyor , hemen bu gece",Tr-Gr,1535958619925225472,Türkçe,Yunan Karşıtı," İyi o zaman savaş ilan edilsin , seçime kadar konu yapılıp seçimden sonra unutulmasın , madem silahlandırıldı ve Yunan geri adım atmıyor , hemen bu gece"
4470,['Ülke/Milliyet'],4,['Simgeleştirme'],Yok,"@sblkaragozlum İyi ki gelmedi,benim aklım çıktı. Meriç nehri taştı Edirne battı, Yunan saldırdı, Bulgar işgal etti sandım..",Tr-Gr,1535959285263384578,Türkçe,Yunan Karşıtı," İyi ki gelmedi,benim aklım çıktı. Meriç nehri taştı Edirne battı, Yunan saldırdı, Bulgar işgal etti sandım.."
4473,['Ülke/Milliyet'],5,['Küfür; Hakaret; Aşağılama; İnsandışılaştırma'],Zayıf,@username İran &amp; itrail,Isr-Pal,1535995269116006402,Türkçe,Yahudi Karşıtı, İran &amp; itrail
4476,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,@username Denize döktük hadisesi ne kadar doğru koca bir soru işareti. . Denize dökecek olan Reis o da bizim Yunan lara batıyor..,Tr-Gr,1536009359863468035,Türkçe,Yunan Karşıtı, Denize döktük hadisesi ne kadar doğru koca bir soru işareti. . Denize dökecek olan Reis o da bizim Yunan lara batıyor..
4479,['Ülke/Milliyet'],6,['Simgeleştirme'],Yok,"@username Muhalif değil Abi 
Bu kadar kibar olma 
Vatan haini ya da 
Yunan dölü diyebilirsin",Tr-Gr,1536046206924869634,Türkçe,Yunan Karşıtı," Muhalif değil Abi 
Bu kadar kibar olma 
Vatan haini ya da 
Yunan dölü diyebilirsin"
4482,['Ülke/Milliyet'],10,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,@RTErdogan Reis savaş zamanı geldi de geçmedi mi? Hadi girelim şu Yunanistan’a!!! Senin liderliğinde muzaffer olacağımız nettir. Sana güveniyor ve inanıyoruz. Yunanistan’ın 24 saate alacağına da inanıyoruz. #Yunanistan #Türkiye #Savaş #Greece #Turkey #War,Tr-Gr,1536075684665348097,,Yunan Karşıtı, Reis savaş zamanı geldi de geçmedi mi? Hadi girelim şu Yunanistan’a!!! Senin liderliğinde muzaffer olacağımız nettir. Sana güveniyor ve inanıyoruz. Yunanistan’ın 24 saate alacağına da inanıyoruz. #Yunanistan #Türkiye #Savaş #Greece #Turkey #War
4485,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu']",4,"['Simgeleştirme', 'Küfür; Hakaret; Aşağılama; İnsandışılaştırma']",Zayıf,"@username @username Anladım. Gavur İzmir Yunan İzmir diyorsun. Kanburdan kambura geçiş yapıp sizin gibiler bu ülkeye kambursunuz yazacaktım ama kanburun eğlendiren kimse manasına geldiğini öğrendim. Ama sen kötü bir soytarısın. Başarısız.
İzmir :) Kambur olma kurban ol. Bas git",Tr-Gr,1536102729147371524,Türkçe,Yunan Karşıtı,"  Anladım. Gavur İzmir Yunan İzmir diyorsun. Kanburdan kambura geçiş yapıp sizin gibiler bu ülkeye kambursunuz yazacaktım ama kanburun eğlendiren kimse manasına geldiğini öğrendim. Ama sen kötü bir soytarısın. Başarısız.
İzmir :) Kambur olma kurban ol. Bas git"
4488,['Hedef grup belirgin değil veya yok.'],0,['Nefret söylemi bulunmuyor'],Yok,@username Yunan halkı savaş mı istiyor.?  Diğer ülkelerin gazına gelmeyin.  Ukraina gibi yanlışa düşmeyin.,Tr-Gr,1536105365934428162,Türkçe,Yunan Karşıtı, Yunan halkı savaş mı istiyor.?  Diğer ülkelerin gazına gelmeyin.  Ukraina gibi yanlışa düşmeyin.
4491,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],4,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,@Zalim_Fira Yunanistan adalari 15 senedir isgal ediyor. 1) Savas sebebi ise neden o zaman savasilmadi 2) vize saldiracaklarini Baris manco bile söylemişken neden Rusya gibi hazirlik yapilmadi. 3) boyle bir ortamda multeciler ne yapacak,Tr-Gr,1536271842339586050,,Yunan Karşıtı, Yunanistan adalari 15 senedir isgal ediyor. 1) Savas sebebi ise neden o zaman savasilmadi 2) vize saldiracaklarini Baris manco bile söylemişken neden Rusya gibi hazirlik yapilmadi. 3) boyle bir ortamda multeciler ne yapacak
4494,['Ülke/Milliyet'],8,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"#Greece 
Takımı için bunu yapan millet…
Savaş halinde Vatanı için neler yapabileceğini sen düşün!! #besiktas #Trabzonspor #türkiye #Yunanistan https://t.co/TFR6qk57Zf",Tr-Gr,1536290678191403008,,Yunan Karşıtı,"#Greece 
Takımı için bunu yapan millet…
Savaş halinde Vatanı için neler yapabileceğini sen düşün!! #besiktas #Trabzonspor #türkiye #Yunanistan "
4497,['Irk/Etnik Köken'],5,['Simgeleştirme'],Zayıf,@username @username Onlarda yunan tohumu denir.,Tr-Gr,1536293658361794561,Türkçe,Yunan Karşıtı,  Onlarda yunan tohumu denir.
4500,"['Ülke/Milliyet', 'Din']",9,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,BENDE İDDİA EDİYORUM ... OLASI BİR YUNAN SAVAŞINDA ! TAM TEŞEKKÜLLÜ SALDIRI POZİSYONU ALSA BİZİM ORDU ! ... 12 DAKİKA İÇİNDE ATİNA'YA TÜRK İSLÂM SANCAĞINI DİKERİZ https://t.co/YIlOfvBXX6,Tr-Gr,1536374939305000960,Türkçe,Yunan Karşıtı,BENDE İDDİA EDİYORUM ... OLASI BİR YUNAN SAVAŞINDA ! TAM TEŞEKKÜLLÜ SALDIRI POZİSYONU ALSA BİZİM ORDU ! ... 12 DAKİKA İÇİNDE ATİNA'YA TÜRK İSLÂM SANCAĞINI DİKERİZ 
4503,"['Irk/Etnik Köken', 'Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",10,"['Küfür; Hakaret; Aşağılama; İnsandışılaştırma', 'Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi']",Şiddetli,Kurdun dişine kandeydi sırayla dağda şehirde  teker teker hepiniz ağ babalariniz itrail abd eğer leşlerinizi daha taşa kurda kuşa yem etmezsek gök girsin kızıl çıksın koçyigitlerin kanını yerde koyarsak kanımız kurusun  🇹🇷🇹🇷🇹🇷🇹🇷🤘🤘🤘🤘🤘🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷 https://t.co/T1Wq4dMqLY,Isr-Pal,1536413104606695433,,Yahudi Karşıtı,Kurdun dişine kandeydi sırayla dağda şehirde  teker teker hepiniz ağ babalariniz itrail abd eğer leşlerinizi daha taşa kurda kuşa yem etmezsek gök girsin kızıl çıksın koçyigitlerin kanını yerde koyarsak kanımız kurusun  🇹🇷🇹🇷🇹🇷🇹🇷🤘🤘🤘🤘🤘🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷 
4506,"['Ülke/Milliyet', 'Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu', 'Hedef grup birden fazla.']",3,['Abartma; Genelleme; Yükleme; Çarpıtma'],Zayıf,"@username Ne kadar çok vatan sever var memlekette gördünüz mü,ülkenin menfaati olsa bile bir hayırlı söz çıkmıyor ağzınızdan bu kadar mı kötü insanlarsiniz,ulan elin yunan gâvur u istemeden de olsa övüyor Türkiye korkusundan  ama bizim insanımız gavurdan beter yazıklar olsun...",Tr-Gr,1536479910612586497,Türkçe,Yunan Karşıtı," Ne kadar çok vatan sever var memlekette gördünüz mü,ülkenin menfaati olsa bile bir hayırlı söz çıkmıyor ağzınızdan bu kadar mı kötü insanlarsiniz,ulan elin yunan gâvur u istemeden de olsa övüyor Türkiye korkusundan  ama bizim insanımız gavurdan beter yazıklar olsun..."
4509,['Ülke/Milliyet'],7,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyine 'işgal' derseniz zaten siz başından kavga etmek istiyorsunuz demektir.""

📍 Mesajımız net https://t.co/ZpdC03WE1H",Tr-Gr,1536751724240805888,Türkçe,Yunan Karşıtı,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyine 'işgal' derseniz zaten siz başından kavga etmek istiyorsunuz demektir.""

📍 Mesajımız net "
4512,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],7,['Abartma; Genelleme; Yükleme; Çarpıtma'],Yok,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyi işgal değildir. Orada katliamı önledik biz. 1974'e kadar katliamlar yapılıyordu, darbeler yapıldı. Oradaki Rumlar dahil, hayatları tehlikeye girdi. Biz 1974 Barış operasyonunda bunu yaptık.""

Mesajımız net",Tr-Gr,1536761155816939520,Türkçe,Yunan Karşıtı,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyi işgal değildir. Orada katliamı önledik biz. 1974'e kadar katliamlar yapılıyordu, darbeler yapıldı. Oradaki Rumlar dahil, hayatları tehlikeye girdi. Biz 1974 Barış operasyonunda bunu yaptık.""

Mesajımız net"
4515,['Ülke/Milliyet'],6,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Zayıf,"Mesela Yunanistan, ABD ve dahi Afrika ülkeleri Türk Hava yollarını Türkiye olarak değiştireceğiz diye açıklamada bulunsaydı savaş sebebiydi 😎",Tr-Gr,1536770374997790720,Türkçe,Yunan Karşıtı,"Mesela Yunanistan, ABD ve dahi Afrika ülkeleri Türk Hava yollarını Türkiye olarak değiştireceğiz diye açıklamada bulunsaydı savaş sebebiydi 😎"
4518,['Belli Görüş/Statü/Uygulama; Mesleki Pozisyon Grubu'],5,['Düşmanlık; Savaş; Saldırı; Öldürme; Yaralama Tehdidi'],Yok,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyine 'işgal' derseniz zaten siz başından kavga etmek istiyorsunuz demektir.""

📍 Mesajımız net https://t.co/khNHiFBvfn",Tr-Gr,1536804505899175936,Türkçe,Yunan Karşıtı,"Milli Savunma Bakanı Hulusi Akar:

""(Yunan Parlamentere) Kıbrıs'ın kuzeyine 'işgal' derseniz zaten siz başından kavga etmek istiyorsunuz demektir.""

📍 Mesajımız net "
